instance,repetition,cost,consistent,travel_time,total_tardiness,highest_tardiness,total_waiting_time,total_extra_time,max_idle_time,workload_balance,preferences,unscheduled,missed_lunch_break,objective,violations,time,seed
i-116,1,1869,yes,370,664,405,7,0,17424,0,0,800,0,1869,0,8.75611,841275218
i-116,2,1869,yes,370,664,405,7,0,17424,0,0,800,0,1869,0,8.74441,2052338626
i-164,8,42,yes,57069,0,0,2844,0,14104,0,42,0,0,42,0,141.064,806859963
i-116,3,1869,yes,370,664,405,7,0,17424,0,0,800,0,1869,0,8.6677,327472469
i-175,2,378,yes,9270,0,0,51520,0,43877,0,378,0,0,378,0,219.694,1289769508
i-116,4,1869,yes,370,664,405,7,0,17424,0,0,800,0,1869,0,8.79213,2554171537
i-416,2,168,yes,79226,0,0,2736,0,356,0,168,0,0,168,0,276.986,3565644633
i-116,5,1869,yes,370,664,405,7,0,17424,0,0,800,0,1869,0,8.72986,841713819
i-416,8,172,yes,79093,0,0,3168,0,396,0,172,0,0,172,0,278.016,2595279031
i-054,2,1491,yes,52768,285,228,6950,574,9075,0,124,280,0,1491,0,141.398,4079959895
i-164,9,70,yes,56241,0,0,4212,0,19352,0,70,0,0,70,0,140.25,2634200733
i-360,2,700,yes,52832,0,0,6115,0,5300,0,500,200,0,700,0,178.666,2065460589
i-247,0,557,yes,622,0,0,138,137,19894,0,0,360,60,557,0,24.3834,4203591081
i-247,1,557,yes,622,0,0,138,137,19894,0,0,360,60,557,0,24.3684,571899740
i-360,4,720,yes,53472,0,0,6395,0,3880,0,520,200,0,720,0,179.099,723951150
i-175,3,378,yes,9324,0,0,51010,0,42186,0,378,0,0,378,0,221.788,2017960471
i-054,3,3016,yes,55864,1350,348,4980,1050,6000,0,128,140,0,3016,0,139.366,1420789673
i-185,5,1080,yes,20148,0,0,14865,0,16909,0,1080,0,0,1080,0,303.653,1463412129
i-167,2,1074,yes,8772,0,0,1764,0,10230,0,234,840,0,1074,0,53.9607,2291718873
i-167,3,1124,yes,8430,0,0,1701,14,7626,0,270,840,0,1124,0,32.3977,1991375525
i-416,9,180,yes,79380,0,0,2907,0,404,0,180,0,0,180,0,240.248,702295860
i-416,3,192,yes,78869,0,0,3879,0,352,0,192,0,0,192,0,288.874,1855212065
i-360,3,700,yes,55512,0,0,6390,0,3260,0,500,200,0,700,0,173.243,1925658773
i-167,4,1065,yes,8880,0,0,1395,0,6789,0,225,840,0,1065,0,52.136,3696357478
i-360,5,700,yes,55824,0,0,4920,0,4060,0,500,200,0,700,0,132.595,3119454395
i-167,5,1140,yes,8571,0,0,2331,0,9300,0,180,960,0,1140,0,31.9229,713289670
i-164,0,70,yes,56430,0,0,4254,0,18614,0,70,0,0,70,0,76.0124,3438889680
i-167,6,1056,yes,8436,0,0,1953,0,9765,0,216,840,0,1056,0,31.9148,2933960807
i-167,7,1149,yes,8625,0,0,1287,0,8928,0,189,960,0,1149,0,31.9752,3874563579
i-175,4,378,yes,9098,0,0,48280,0,40584,0,378,0,0,378,0,205.215,3104094270
i-164,1,56,yes,56007,0,0,4488,0,14104,0,56,0,0,56,0,71.3979,2642443166
i-416,4,196,yes,78652,0,0,3186,0,422,0,196,0,0,196,0,142.767,2641289040
i-167,8,1149,yes,8511,0,0,1791,0,11346,0,189,960,0,1149,0,31.9788,3375962702
i-167,9,1140,yes,8253,0,0,2061,0,17205,0,180,960,0,1140,0,31.9631,3628154527
i-360,6,690,yes,54992,0,0,6175,0,4200,0,490,200,0,690,0,166.138,1824503994
i-164,2,42,yes,57141,0,0,4284,0,13202,0,42,0,0,42,0,72.8621,181194829
i-175,5,414,yes,9442,0,0,51270,0,41741,0,414,0,0,414,0,138.165,875909559
i-416,5,180,yes,78911,0,0,3852,0,388,0,180,0,0,180,0,138.466,2617184298
i-360,7,710,yes,52952,0,0,6845,0,3640,0,510,200,0,710,0,90.7584,2617076934
i-164,3,84,yes,57357,0,0,3696,0,12628,0,84,0,0,84,0,72.2026,224735309
i-360,8,660,yes,57928,0,0,5710,0,3200,0,460,200,0,660,0,88.0791,1667509135
i-175,6,378,yes,9086,0,0,48780,0,40495,0,378,0,0,378,0,112.337,3801580871
i-360,9,690,yes,54960,0,0,6285,0,4080,0,490,200,0,690,0,88.3333,376666781
i-175,7,378,yes,9030,0,0,51480,0,41830,0,378,0,0,378,0,110.096,809089769
i-167,0,986,yes,8568,0,0,1872,14,10881,0,252,720,0,986,0,31.7076,3126438001
i-167,1,1047,yes,8490,0,0,1674,0,9672,0,207,840,0,1047,0,30.9469,4085060265
